,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
287,4,Semi equipped,2,1,1,357,G,69,Gas,Yes,1080,300.0,No,Apartment ,100,No,As new,Yes,1380
289,2,Hyper equipped,2,1,2,169,D,47,Gas,Yes,1850,213.98,No,Apartment ,149,No,As new,Yes,1850
290,0,Installed,4,1,2,306,F,60,Gas,No,2250,68.32,No,House ,132,No,As new,Unknown,2250
292,0,USA hyper equipped,1,1,1,231,E,46,Fuel oil,Yes,945,125.0,No,Ground floor ,55,Yes,Just renovated,Yes,1070
293,0,Hyper equipped,2,1,2,170,D,36,Gas,Yes,1550,130.0,No,Apartment ,90,Unknown,As new,Yes,1680
294,2,Hyper equipped,1,1,1,161,Not specified,24,Gas,Yes,1290,90.0,No,Apartment ,75,Yes,Just renovated,Yes,1380
296,2,Hyper equipped,2,1,1,149,C,58,Gas,Yes,1100,127.23,No,Apartment ,78,No,As new,Yes,1100
297,0,Hyper equipped,1,1,1,124,Not specified,20,Gas,Yes,870,90.0,No,Ground floor ,85,Unknown,Good,No,960
299,0,Installed,2,2,1,74,Not specified,92,Gas,Yes,1125,100.0,No,Apartment ,80,No,As new,Yes,1225
300,4,USA hyper equipped,3,2,1,162,Not specified,15,Gas,Yes,1595,200.0,No,Penthouse ,120,Yes,Good,Yes,1795
302,6,Hyper equipped,1,1,1,81,B,16,Gas,Yes,1500,75.0,No,Apartment ,70,Yes,As new,Yes,1575
303,3,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,175.0,No,Apartment ,136,Unknown,As new,Yes,1425
304,4,Installed,2,1,1,256,Not specified,50,Gas,Yes,650,150.0,No,Studio ,47,Unknown,As new,Yes,800
305,0,Installed,3,1,2,136,C,40,Gas,No,2050,100.0,No,Apartment ,110,Yes,Good,No,2150
306,4,Installed,1,1,1,255,Not specified,53,Gas,No,1350,196.83,No,Studio ,42,Yes,As new,Yes,1350
307,0,USA hyper equipped,2,2,2,161,Not specified,36,Gas,Yes,1290,110.0,No,Ground floor ,98,No,As new,Yes,1400
308,0,Installed,2,1,2,247,Not specified,63,Gas,Yes,1250,37.96,No,House ,90,No,As new,Unknown,1250
310,6,Hyper equipped,3,1,2,224,E,47,Gas,Yes,1950,350.0,No,Apartment ,140,No,Just renovated,Yes,2300
311,2,Semi equipped,1,1,1,191,D,79,Gas,Yes,800,92.53,No,Apartment ,67,No,Good,Unknown,800
312,2,Hyper equipped,2,1,2,35,A,52,Gas,Yes,1690,10.0,No,Triplex ,140,Unknown,As new,Unknown,1700
315,1,Installed,2,1,1,159,D,39,Gas,Yes,1000,115.66,No,Apartment ,73,No,Good,Yes,1000
317,1,Hyper equipped,3,2,1,223,E,47,Gas,No,1950,149.12,No,Duplex ,167,No,As new,Unknown,1950
318,0,Hyper equipped,3,2,1,223,E,47,Gas,No,1950,59.21,No,House ,167,No,As new,Unknown,1950
319,0,USA hyper equipped,2,2,2,130,C,34,Gas,Yes,1575,150.0,No,Apartment ,102,No,As new,Yes,1725
320,3,Hyper equipped,2,1,1,224,E,48,Gas,Yes,950,150.0,No,Apartment ,95,No,Good,Yes,1100
321,2,Hyper equipped,1,1,1,157,D,31,Gas,Yes,940,108.72,No,Apartment ,70,No,As new,Yes,940
322,3,Installed,1,1,1,206,Not specified,44,Fuel oil,No,1050,121.45,No,Apartment ,71,Yes,As new,Unknown,1050
323,0,USA hyper equipped,1,1,1,370,G,59,Gas,Yes,1200,175.0,No,Apartment ,73,Yes,As new,Yes,1375
324,1,Hyper equipped,1,1,1,365,Not specified,79,Gas,No,800,92.53,No,Apartment ,60,Unknown,As new,Unknown,800
325,3,USA hyper equipped,1,1,1,225,E,36,Electric,Yes,800,130.0,No,Apartment ,55,No,As new,Yes,930
326,1,Hyper equipped,2,2,2,137,C,35,Gas,Yes,1600,250.0,No,Apartment ,100,No,As new,Yes,1850
327,2,Hyper equipped,2,1,1,195,D,38,Gas,Yes,1400,185.0,No,Apartment ,105,Unknown,Just renovated,Yes,1585
330,1,USA uninstalled,2,1,1,365,Not specified,79,Gas,No,800,92.53,No,Apartment ,80,Unknown,As new,Yes,800
332,4,USA hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950,80.0,No,Apartment ,60,Unknown,As new,Yes,1030
333,5,USA hyper equipped,1,1,1,89,B,15,Gas,Yes,950,100.0,No,Studio ,45,Unknown,As new,Yes,1050
335,1,USA hyper equipped,2,2,1,241,E,55,Gas,Yes,1500,100.0,No,Apartment ,70,Yes,As new,Unknown,1600
336,4,Installed,2,1,2,152,D,42,Gas,Yes,1800,200.0,No,Apartment ,135,No,As new,Unknown,2000
339,2,USA hyper equipped,2,1,1,257,E,51,Gas,Yes,1200,138.8,No,Apartment ,86,No,Good,No,1200
341,3,USA hyper equipped,2,1,1,165,D,33,Gas,Yes,1350,250.0,No,Apartment ,103,No,As new,Yes,1600
342,3,USA hyper equipped,2,1,1,165,D,33,Gas,Yes,1350,250.0,No,Apartment ,103,No,As new,Yes,1600
344,2,Hyper equipped,2,1,1,233,E,46,Gas,Yes,1120,180.0,No,Apartment ,75,Unknown,Just renovated,Unknown,1300
345,1,Hyper equipped,2,1,1,151,C,30,Gas,Yes,1100,205.0,No,Apartment ,92,No,As new,Yes,1305
346,1,USA hyper equipped,3,2,2,50,B,12,Gas,Yes,1875,200.0,No,Apartment ,120,No,As new,Yes,2075
347,3,USA installed,3,2,2,220,Not specified,47,Gas,Yes,1300,230.0,No,Apartment ,116,No,As new,Yes,1530
348,1,Hyper equipped,3,2,3,166,D,52,Gas,Yes,1600,300.0,No,Apartment ,165,Yes,As new,Yes,1900
349,0,USA hyper equipped,1,1,1,135,C,29,Gas,Yes,1260,250.0,No,Apartment ,60,Yes,As new,No,1510
350,2,USA hyper equipped,1,1,1,203,Not specified,6,Gas,Yes,1000,80.0,No,Studio ,40,Yes,As new,Yes,1080
351,1,USA hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950,100.0,No,Studio ,40,Yes,As new,Yes,1050
352,2,Hyper equipped,1,1,1,173,D,34,Gas,Yes,900,85.0,No,Apartment ,57,No,Just renovated,Unknown,985
355,1,USA hyper equipped,2,1,1,41,A,11,Gas,Yes,1450,150.0,No,Apartment ,91,No,As new,Yes,1600
356,0,Hyper equipped,1,1,1,265,Not specified,67,Gas,Yes,920,130.0,No,Ground floor ,63,No,Good,Yes,1050
359,4,USA hyper equipped,1,1,1,41,A,9,Gas,Yes,1125,140.0,No,Apartment ,65,No,As new,Yes,1265
360,0,USA hyper equipped,1,1,1,67,B,10,Gas,Yes,1125,140.0,No,Ground floor ,76,No,As new,Yes,1265
361,1,Hyper equipped,2,1,1,162,D,58,Gas,Yes,1100,127.23,No,Apartment ,75,Unknown,Just renovated,No,1100
362,3,USA hyper equipped,3,1,2,200,Not specified,42,Gas,No,1800,208.19,No,Apartment ,110,Unknown,As new,No,1800
363,0,Hyper equipped,3,1,2,210,D,43,Gas,Yes,2250,68.32,No,House ,175,Unknown,As new,Unknown,2250
364,3,Hyper equipped,2,1,1,122,C,23,Gas,Yes,1100,127.23,No,Apartment ,85,No,As new,Yes,1100
365,2,Installed,1,1,1,272,Not specified,58,Gas,Yes,850,98.31,No,Apartment ,60,No,Good,No,850
366,0,Installed,1,1,1,49,B,10,Gas,Yes,780,40.0,No,Studio ,50,No,As new,Yes,820
368,0,Hyper equipped,1,1,1,365,Not specified,51,Gas,Yes,800,61.18,No,Duplex ,42,No,Good,Unknown,800
369,2,Hyper equipped,1,1,1,435,G,87,Gas,Yes,900,68.83,No,Duplex ,53,No,Good,Unknown,900
370,4,USA hyper equipped,1,1,1,74,Not specified,41,Gas,Yes,1125,140.0,No,Apartment ,65,No,As new,Yes,1265
371,2,Installed,1,1,1,243,Not specified,51,Gas,Yes,735,85.01,No,Apartment ,45,Unknown,Just renovated,Unknown,735
372,0,Hyper equipped,1,1,2,271,E,54,Gas,Yes,1250,144.58,No,Apartment ,90,No,As new,Unknown,1250
373,0,Hyper equipped,1,1,2,271,E,54,Gas,Yes,1250,113.92,No,Ground floor ,90,No,As new,Unknown,1250
374,1,Installed,1,1,1,257,E,51,Gas,Yes,720,104.97,No,Studio ,45,No,As new,Yes,720
375,2,Installed,1,1,1,233,E,44,Gas,Yes,790,91.37,No,Apartment ,75,No,As new,Yes,790
376,0,Hyper equipped,2,1,1,327,F,49,Gas,Yes,1150,200.0,No,Ground floor ,85,Yes,As new,Yes,1350
378,0,Hyper equipped,1,1,1,143,C,11,Gas,Yes,1100,150.0,No,Studio ,49,Yes,As new,Yes,1250
379,0,Hyper equipped,1,1,1,228,E,40,Gas,Yes,925,200.0,No,Ground floor ,65,No,Good,Yes,1125
380,1,Installed,1,1,1,236,E,84,Gas,Yes,840,97.16,No,Apartment ,80,No,Good,Unknown,840
381,2,USA installed,3,2,2,106,C,21,Gas,Yes,1250,110.0,No,Apartment ,114,No,As new,Yes,1360
382,2,Hyper equipped,2,1,2,368,G,46,Gas,Yes,1200,60.0,No,Duplex ,95,No,As new,Unknown,1260
383,4,Installed,2,1,1,1,A,1,Gas,No,1750,50.0,No,Penthouse ,95,No,As new,Yes,1800
384,5,Installed,2,1,1,101,C,20,Gas,No,1300,175.0,No,Apartment ,95,No,As new,Unknown,1475
385,1,Installed,1,1,1,247,Not specified,63,Gas,No,1250,144.58,No,Apartment ,70,Yes,As new,Unknown,1250
386,5,Hyper equipped,2,2,1,145,C,29,Gas,Yes,1450,150.0,No,Apartment ,125,No,Just renovated,Yes,1600
388,2,Hyper equipped,2,1,2,64,B,13,Gas,Yes,1795,75.0,No,Apartment ,140,Yes,As new,Yes,1870
389,3,Installed,1,1,1,381,Not specified,73,Gas,No,890,102.94,No,Apartment ,50,No,As new,Unknown,890
390,3,Installed,1,1,1,365,Not specified,79,Gas,No,800,160.0,No,Studio ,60,Yes,As new,Unknown,960
391,2,Hyper equipped,2,2,1,170,D,36,Gas,Yes,1200,250.0,No,Duplex ,108,No,As new,Yes,1450
392,5,Hyper equipped,1,1,2,151,C,38,Gas,Yes,875,190.0,No,Apartment ,68,Yes,As new,Yes,1065
393,1,Hyper equipped,2,1,1,364,G,57,Gas,Yes,650,110.0,No,Studio ,45,Yes,Good,Yes,760
394,4,Hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825,95.42,No,Apartment ,62,Unknown,Good,Yes,825
395,3,Hyper equipped,2,1,1,253,E,49,Gas,Yes,1150,80.0,No,Apartment ,85,No,As new,Yes,1230
396,4,Hyper equipped,2,1,2,116,C,25,Gas,Yes,1180,250.0,No,Duplex ,153,No,As new,Yes,1430
397,0,USA hyper equipped,1,1,1,121,C,24,Gas,Yes,850,100.0,No,Apartment ,61,No,Good,Yes,950
398,2,USA installed,1,1,1,251,Not specified,58,Gas,Yes,1075,15.0,No,Apartment ,60,Yes,As new,No,1090
399,3,USA hyper equipped,2,1,1,131,C,26,Gas,Yes,1500,150.0,No,Penthouse ,90,Unknown,As new,Yes,1650
400,2,USA semi equipped,4,2,2,195,Not specified,40,Gas,Yes,1750,20.0,No,Duplex ,137,No,Good,No,1770
401,6,USA hyper equipped,1,1,1,308,Not specified,48,Gas,No,1395,100.0,No,Apartment ,75,Unknown,As new,Yes,1495
402,4,Hyper equipped,3,2,2,116,C,25,Pellet,Yes,2490,190.0,No,Duplex ,165,Yes,As new,No,2680
404,4,Hyper equipped,2,1,1,194,D,50,Fuel oil,Yes,1290,149.2,No,Apartment ,80,Yes,As new,Yes,1290
406,0,Hyper equipped,1,1,1,166,D,49,Gas,Yes,850,175.0,No,Triplex ,50,Yes,As new,No,1025
408,1,Hyper equipped,2,1,1,204,D,44,Gas,Yes,1200,200.0,No,Apartment ,83,No,As new,Yes,1400
409,1,Hyper equipped,2,2,1,306,F,42,Gas,Yes,1790,207.04,No,Apartment ,135,No,As new,Unknown,1790
410,1,Installed,3,1,1,178,D,40,Fuel oil,Yes,1350,200.0,No,Apartment ,120,No,As new,Yes,1550
411,6,Hyper equipped,2,1,1,202,D,40,Gas,Yes,1500,250.0,No,Apartment ,110,No,As new,Yes,1750
412,1,Hyper equipped,3,1,2,86,B,35,Gas,Yes,2800,214.13,No,Duplex ,192,No,Good,Yes,2800
414,1,USA hyper equipped,1,1,1,208,D,50,Gas,Yes,900,10.0,No,Apartment ,50,Yes,As new,Unknown,910
415,2,Hyper equipped,2,1,1,222,E,47,Gas,Yes,1300,50.0,No,Duplex ,109,No,As new,Unknown,1350
416,1,Installed,1,1,1,398,G,69,Gas,Yes,720,80.0,No,Apartment ,45,No,Good,Unknown,800
417,0,Installed,1,1,1,311,F,62,Gas,No,995,200.0,No,Apartment ,100,No,As new,Unknown,1195
418,0,USA semi equipped,3,1,2,206,Not specified,53,Gas,Yes,2400,300.0,No,Ground floor ,145,Unknown,Just renovated,Yes,2700
419,1,Installed,2,1,2,199,Not specified,38,Gas,Yes,1380,105.53,No,Duplex ,100,Unknown,Good,No,1380
420,2,USA installed,1,1,1,245,Not specified,53,Gas,Yes,950,65.0,No,Apartment ,65,Unknown,As new,Yes,1015
422,4,USA semi equipped,1,1,1,357,Not specified,85,Gas,Yes,700,35.0,No,Duplex ,60,Yes,Just renovated,No,735
423,2,Installed,1,1,1,256,Not specified,50,Gas,Yes,650,150.0,No,Apartment ,50,No,Good,Unknown,800
425,2,USA installed,1,1,1,224,E,58,Gas,Yes,850,98.31,No,Apartment ,60,No,As new,Unknown,850
426,0,USA installed,1,1,1,224,E,53,Gas,Yes,950,109.88,No,Apartment ,60,No,Just renovated,No,950
427,3,USA semi equipped,1,1,1,260,E,58,Gas,Yes,850,125.0,No,Apartment ,90,No,Good,Unknown,975
432,3,USA installed,2,1,1,277,Not specified,61,Gas,Yes,750,57.36,No,Duplex ,70,Unknown,As new,Unknown,750
435,4,USA hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050,100.0,No,Apartment ,60,No,As new,Yes,1150
437,1,Installed,1,1,1,341,F,68,Gas,Yes,700,120.0,No,Studio ,35,Yes,Good,Yes,820
438,3,USA installed,2,2,2,93,B,18,Gas,Yes,1325,150.0,No,Apartment ,113,Unknown,Good,Yes,1475
439,2,Hyper equipped,2,1,1,99,C,47,Gas,Yes,1300,50.0,No,Apartment ,100,No,As new,Yes,1350
440,0,Hyper equipped,3,2,1,112,C,24,Gas,Yes,1900,195.0,No,Apartment ,135,No,Good,Unknown,2095
441,1,Hyper equipped,2,1,1,151,C,30,Gas,Yes,1100,205.0,No,Apartment ,90,No,As new,Yes,1305
442,2,Hyper equipped,3,2,2,132,C,26,Gas,Yes,1950,225.0,No,Apartment ,151,No,As new,Yes,2175
443,3,USA semi equipped,2,1,1,331,F,39,Gas,Yes,1000,75.0,No,Apartment ,75,No,Good,Unknown,1075
446,4,USA hyper equipped,2,2,1,38,A,8,Gas,Yes,1650,100.0,No,Apartment ,100,No,As new,Yes,1750
447,1,Hyper equipped,2,2,1,202,D,24,Gas,Yes,1300,175.0,No,Apartment ,105,No,As new,Yes,1475
448,0,Hyper equipped,1,1,1,153,D,30,Gas,Yes,1350,25.0,No,Ground floor ,85,Unknown,Just renovated,Unknown,1375
449,3,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,150.0,No,Apartment ,50,No,As new,Yes,1050
451,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,127.23,No,Apartment ,78,Unknown,As new,No,1100
452,4,USA hyper equipped,2,1,1,114,C,24,Gas,Yes,1150,120.0,No,Apartment ,95,Unknown,Good,No,1270
453,5,USA hyper equipped,1,1,1,153,D,30,Gas,Yes,620,125.0,No,Studio ,36,Unknown,As new,Yes,745
454,1,Semi equipped,3,1,1,233,Not specified,58,Gas,Yes,1100,127.23,No,Apartment ,65,Unknown,Good,No,1100
455,3,USA hyper equipped,2,1,1,245,Not specified,53,Gas,No,950,200.0,No,Apartment ,100,Unknown,As new,Unknown,1150
456,0,Hyper equipped,1,1,1,181,Not specified,52,Gas,Yes,1550,220.0,No,Apartment ,80,Yes,As new,No,1770
457,3,Hyper equipped,2,1,2,137,Not specified,34,Gas,Yes,1475,50.0,No,Penthouse ,120,No,As new,No,1525
459,5,Hyper equipped,2,1,2,75,B,15,Gas,Yes,1350,120.0,No,Apartment ,102,No,As new,Yes,1470
460,2,Hyper equipped,3,2,2,247,E,52,Gas,Yes,1550,275.0,No,Penthouse ,110,No,As new,Yes,1825
463,3,Installed,2,1,1,418,G,84,Gas,No,1150,133.01,No,Apartment ,92,No,Good,No,1150
464,2,USA semi equipped,1,1,1,60,B,12,Gas,Yes,1050,260.0,No,Apartment ,68,No,Good,Yes,1310
465,0,Semi equipped,1,1,1,277,Not specified,61,Gas,Yes,750,35.0,No,Ground floor ,58,Yes,To be done up,Unknown,785
466,3,Hyper equipped,2,1,1,139,C,29,Gas,Yes,1095,100.0,No,Apartment ,98,No,As new,Unknown,1195
467,0,Semi equipped,1,1,1,277,Not specified,61,Gas,Yes,750,35.0,No,Apartment ,58,Yes,To be done up,Unknown,785
468,0,Semi equipped,1,1,1,270,E,54,Gas,Yes,750,145.0,No,Studio ,53,No,As new,Unknown,895
469,6,Installed,2,1,2,246,E,72,Fuel oil,Yes,1500,173.49,No,Apartment ,130,No,Good,Yes,1500
470,2,USA installed,2,1,2,191,D,41,Gas,Yes,1350,50.0,No,Apartment ,85,No,As new,Unknown,1400
472,1,Hyper equipped,1,1,1,90,B,18,Gas,Yes,1250,150.0,No,Apartment ,80,No,As new,Yes,1400
473,2,Semi equipped,1,1,1,365,Not specified,79,Gas,Yes,800,60.0,No,Apartment ,50,Unknown,As new,No,860
474,1,Hyper equipped,1,1,2,272,Not specified,58,Gas,No,850,20.0,No,Apartment ,60,Unknown,As new,No,870
475,0,USA hyper equipped,1,1,1,418,G,66,Electric,Yes,695,125.0,No,Studio ,33,Yes,As new,Yes,820
476,1,Installed,1,1,1,365,Not specified,79,Gas,Yes,800,30.0,No,Apartment ,60,No,As new,Yes,830
477,4,Hyper equipped,1,1,1,201,D,39,Gas,Yes,890,100.0,No,Apartment ,64,No,As new,Yes,990
479,1,USA installed,1,1,1,124,Not specified,20,Gas,Yes,870,25.0,No,Apartment ,62,Unknown,As new,No,895
480,4,Installed,1,1,1,263,Not specified,50,Gas,No,900,50.0,No,Apartment ,60,Yes,As new,Unknown,950
481,0,Not installed,1,1,1,206,Not specified,50,Gas,Yes,1050,25.0,No,Apartment ,75,No,Just renovated,Unknown,1075
483,5,Hyper equipped,1,1,1,73,B,14,Gas,Yes,1400,120.0,No,Apartment ,70,No,As new,Yes,1520
484,3,USA installed,1,1,1,270,Not specified,66,Gas,Yes,720,250.0,No,Apartment ,50,No,Good,No,970
486,2,Hyper equipped,2,1,1,125,Not specified,26,Gas,Yes,1495,50.0,No,Apartment ,114,No,Good,Unknown,1545
487,1,Hyper equipped,3,1,1,318,F,63,Gas,Yes,1690,350.0,No,Apartment ,113,No,As new,Yes,2040
488,1,Hyper equipped,2,2,2,324,F,64,Gas,Yes,1950,250.0,No,Duplex ,135,Yes,As new,No,2200
489,2,USA hyper equipped,2,1,2,406,G,86,Gas,Yes,1700,130.01,No,Duplex ,128,No,Good,Unknown,1700
492,6,Hyper equipped,1,1,1,308,Not specified,48,Gas,Yes,1395,100.0,No,Apartment ,75,No,Just renovated,Yes,1495
493,0,Hyper equipped,2,1,1,275,E,55,Gas,Yes,1350,200.0,No,Ground floor ,78,No,Good,Yes,1550
494,0,USA hyper equipped,1,1,1,234,Not specified,49,Gas,Yes,1150,50.0,No,Ground floor ,70,No,As new,Yes,1200
495,3,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,50.0,No,Apartment ,80,No,As new,Yes,1300
496,0,USA hyper equipped,1,1,1,234,Not specified,49,Gas,Yes,1150,50.0,No,Apartment ,70,No,As new,Yes,1200
497,2,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,50.0,No,Apartment ,80,No,As new,Yes,1300
498,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,50.0,No,Apartment ,60,No,As new,Yes,1150
499,1,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,90.0,No,Apartment ,85,No,As new,Yes,1340
500,3,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,50.0,No,Apartment ,60,No,As new,Yes,1150
501,1,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,50.0,No,Apartment ,80,No,As new,Yes,1300
504,6,Installed,2,1,1,233,Not specified,58,Gas,No,1100,150.0,No,Apartment ,116,Unknown,As new,Yes,1250
506,4,Hyper equipped,1,1,1,194,D,47,Gas,Yes,1300,100.0,No,Apartment ,127,No,Just renovated,Yes,1400
507,0,Installed,2,2,1,338,F,50,Gas,Yes,1050,80.3,No,Duplex ,98,Unknown,As new,Unknown,1050
508,3,Hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,180.0,No,Apartment ,55,Yes,As new,No,1280
509,1,USA hyper equipped,1,1,2,83,B,18,Gas,Yes,1250,130.0,No,Apartment ,64,Yes,As new,Yes,1380
510,3,Semi equipped,1,1,1,299,F,79,Gas,Yes,800,200.0,No,Apartment ,70,No,Good,Unknown,1000
512,5,USA hyper equipped,1,1,1,182,Not specified,36,Gas,Yes,860,35.0,No,Apartment ,85,No,Good,Unknown,895
514,0,Hyper equipped,1,1,1,365,Not specified,79,Gas,No,800,116.64,No,Studio ,40,Unknown,As new,Unknown,800
516,0,Hyper equipped,3,2,3,244,E,52,Gas,Yes,2550,100.0,No,House ,130,No,As new,No,2650
517,4,Hyper equipped,3,3,2,139,C,29,Gas,Yes,1900,275.0,No,Apartment ,123,No,As new,Yes,2175
519,1,USA hyper equipped,1,1,1,150,C,32,Gas,Yes,1150,250.0,No,Apartment ,51,Yes,As new,Yes,1400
520,6,Hyper equipped,3,1,2,133,C,28,Gas,Yes,1350,275.0,No,Apartment ,113,Unknown,Good,Yes,1625
521,0,Hyper equipped,2,1,1,243,Not specified,51,Electric,No,985,90.0,No,Ground floor ,80,No,As new,Yes,1075
522,1,Hyper equipped,2,2,2,184,D,36,Gas,Yes,2250,100.0,No,Apartment ,130,No,As new,Yes,2350
524,0,Installed,3,1,2,195,Not specified,40,Gas,No,1750,53.14,No,House ,128,No,As new,Unknown,1750
525,1,Installed,2,1,1,190,D,40,Gas,No,1575,75.0,No,Apartment ,100,No,As new,Unknown,1650
526,0,USA installed,2,2,2,252,E,40,Gas,Yes,1550,175.0,No,Apartment ,88,Yes,As new,Yes,1725
527,5,USA hyper equipped,1,1,1,215,E,46,Gas,Yes,1400,250.0,No,Apartment ,66,Yes,As new,Yes,1650
528,2,USA hyper equipped,2,1,1,79,B,15,Gas,Yes,1600,250.0,No,Apartment ,97,Yes,As new,Yes,1850
530,0,Installed,3,2,3,165,D,44,Fuel oil,Yes,2100,22.05,No,Exceptional property ,180,No,As new,No,2100
531,2,USA hyper equipped,1,1,1,119,C,25,Gas,Yes,1150,150.0,No,Apartment ,56,Yes,As new,Yes,1300
532,2,Installed,1,1,1,252,E,50,Gas,Yes,850,25.0,No,Apartment ,50,No,As new,Unknown,875
533,4,USA installed,1,1,1,263,Not specified,50,Gas,Yes,900,300.0,No,Studio ,35,Yes,Good,Unknown,1200
534,1,Installed,2,1,1,199,Not specified,41,Gas,No,1380,150.0,No,Apartment ,70,No,As new,Unknown,1530
537,1,USA hyper equipped,2,1,2,69,B,13,Gas,Yes,1600,200.0,No,Apartment ,110,No,As new,Yes,1800
538,1,Installed,2,1,1,272,Not specified,58,Gas,Yes,850,150.0,No,Apartment ,70,No,Good,Yes,1000
539,3,Hyper equipped,1,1,1,256,E,67,Gas,Yes,850,125.0,No,Apartment ,60,Unknown,Good,No,975
540,2,Hyper equipped,2,2,3,79,B,47,Gas,Yes,1850,213.98,No,Apartment ,130,No,As new,Yes,1850
542,0,USA hyper equipped,3,2,2,199,Not specified,43,Gas,Yes,2500,250.0,No,Ground floor ,160,No,As new,Yes,2750
543,1,Installed,2,1,1,175,D,37,Gas,Yes,1200,200.0,No,Apartment ,100,No,As new,Yes,1400
544,2,USA hyper equipped,2,1,1,427,G,36,Gas,Yes,2000,231.33,No,Apartment ,120,Yes,Just renovated,Unknown,2000
551,2,USA semi equipped,1,1,1,277,Not specified,61,Electric,Yes,750,50.0,No,Apartment ,50,Unknown,Good,No,800
552,1,USA hyper equipped,2,1,1,211,D,40,Gas,Yes,960,35.0,No,Apartment ,90,No,Just renovated,No,995
553,3,Hyper equipped,1,1,1,170,D,36,Gas,Yes,895,90.0,No,Apartment ,45,No,As new,Unknown,985
554,2,Hyper equipped,1,1,2,182,Not specified,40,Gas,Yes,925,70.0,No,Apartment ,60,Unknown,As new,Unknown,995
555,1,Hyper equipped,1,1,1,225,E,45,Gas,Yes,1200,200.0,No,Apartment ,55,Yes,As new,Unknown,1400
556,2,USA installed,1,1,1,185,D,79,Gas,Yes,800,92.53,No,Apartment ,65,Yes,Good,Unknown,800
557,1,Hyper equipped,2,1,2,183,D,36,Gas,Yes,1150,300.0,No,Apartment ,93,No,Good,Yes,1450
560,2,Semi equipped,1,1,1,199,D,39,Gas,Yes,850,60.0,No,Apartment ,60,No,Good,No,910
566,0,Semi equipped,1,1,1,202,D,40,Gas,Yes,950,77.0,No,Apartment ,56,No,Good,Yes,1027
567,2,Installed,1,1,1,222,Not specified,47,Gas,Yes,770,20.0,No,Apartment ,55,No,Good,No,790
568,0,USA hyper equipped,1,1,1,302,F,60,Gas,Yes,850,100.0,No,Studio ,35,Yes,As new,Yes,950
569,3,USA hyper equipped,2,2,2,255,E,51,Gas,Yes,2470,150.0,No,Apartment ,123,No,As new,Yes,2620
570,4,USA hyper equipped,2,2,2,255,E,51,Gas,Yes,2580,150.0,No,Penthouse ,122,No,As new,Yes,2730
571,1,USA hyper equipped,2,1,1,308,F,61,Gas,Yes,1600,230.0,No,Apartment ,85,Yes,As new,No,1830
572,3,Hyper equipped,2,1,1,162,D,35,Gas,Yes,1400,175.0,No,Apartment ,110,No,Good,Unknown,1575
573,1,Hyper equipped,2,2,2,167,D,36,Gas,Yes,1350,180.0,No,Apartment ,120,No,As new,Yes,1530
574,2,Hyper equipped,2,2,2,119,C,26,Gas,Yes,1450,150.0,No,Apartment ,115,No,As new,Yes,1600
575,2,Hyper equipped,1,1,2,425,G,91,Gas,Yes,850,98.31,No,Apartment ,80,Unknown,As new,Unknown,850
576,0,USA hyper equipped,2,1,1,232,E,46,Gas,Yes,1850,56.17,No,House ,90,Yes,As new,No,1850
577,0,USA hyper equipped,2,1,1,232,E,46,Gas,Yes,1850,141.48,No,Duplex ,90,Yes,As new,No,1850
581,2,Installed,2,1,1,231,E,46,Gas,Yes,890,102.94,No,Apartment ,90,No,Just renovated,No,890
583,2,Hyper equipped,3,2,2,78,B,15,Gas,Yes,1990,180.0,No,Apartment ,146,No,As new,Yes,2170
584,2,Installed,2,1,1,199,D,39,Gas,Yes,1000,200.0,No,Apartment ,100,No,Good,Yes,1200
585,0,Installed,1,1,1,292,F,58,Gas,Yes,850,98.31,No,Apartment ,60,No,Good,No,850
586,3,USA hyper equipped,1,1,1,158,D,31,Gas,Yes,1350,45.0,No,Duplex ,66,No,As new,No,1395
587,4,USA hyper equipped,2,1,1,201,D,40,Gas,Yes,1200,225.0,No,Apartment ,120,No,As new,Yes,1425
588,2,USA hyper equipped,1,1,1,372,G,73,Gas,Yes,890,80.0,No,Studio ,45,Yes,As new,Yes,970
590,3,Hyper equipped,1,1,1,225,E,50,Gas,Yes,1050,350.0,No,Apartment ,60,Yes,As new,No,1400
